algorithm,fpr,tpr,recall,precision,threshold_score
DT-FedDQL,0.02894356005788712,0.09701169337375487,0.09701169337375487,0.9180327868852459,0.8876721596831935
DT-FedDQL,0.030390738060781478,0.09701169337375487,0.09701169337375487,0.9142857142857143,0.8854986166449075
DT-FedDQL,0.03183791606367583,0.09701169337375487,0.09701169337375487,0.9105691056910569,0.8854752542963821
DT-FedDQL,0.03328509406657019,0.09701169337375487,0.09701169337375487,0.9068825910931174,0.8828242184872815
DT-FedDQL,0.03473227206946455,0.09701169337375487,0.09701169337375487,0.9032258064516129,0.8827181767928814
DT-FedDQL,0.0361794500723589,0.09701169337375487,0.09701169337375487,0.8995983935742972,0.8801138832360144
DT-FedDQL,0.03762662807525326,0.09701169337375487,0.09701169337375487,0.896,0.8794550796577201
DT-FedDQL,0.03907380607814761,0.09701169337375487,0.09701169337375487,0.8924302788844621,0.8790862727035951
DT-FedDQL,0.04052098408104197,0.09701169337375487,0.09701169337375487,0.8888888888888888,0.8776888817018699
DT-FedDQL,0.041968162083936326,0.09701169337375487,0.09701169337375487,0.8853754940711462,0.8776273924029976
DT-FedDQL,0.04341534008683068,0.09701169337375487,0.09701169337375487,0.8818897637795275,0.8762513418665033
DT-FedDQL,0.04486251808972504,0.09701169337375487,0.09701169337375487,0.8784313725490196,0.8730637019896009
DT-FedDQL,0.04630969609261939,0.09701169337375487,0.09701169337375487,0.875,0.8721077019935938
DT-FedDQL,0.04775687409551375,0.09701169337375487,0.09701169337375487,0.8715953307392996,0.8716605741255855
DT-FedDQL,0.049204052098408106,0.09701169337375487,0.09701169337375487,0.8682170542635659,0.8703014910443454
DT-FedDQL,0.05065123010130246,0.09701169337375487,0.09701169337375487,0.8648648648648649,0.8647326525141156
DT-FedDQL,0.05209840810419682,0.09701169337375487,0.09701169337375487,0.8615384615384616,0.8617611874056329
DT-FedDQL,0.053545586107091175,0.09701169337375487,0.09701169337375487,0.8582375478927203,0.8590756529062501
DT-FedDQL,0.05499276410998553,0.09701169337375487,0.09701169337375487,0.8549618320610687,0.8585752474260833
DT-FedDQL,0.056439942112879886,0.09701169337375487,0.09701169337375487,0.8517110266159695,0.8582422660413609
DT-FedDQL,0.05788712011577424,0.09701169337375487,0.09701169337375487,0.8484848484848485,0.8574536350505181
DT-FedDQL,0.059334298118668596,0.09701169337375487,0.09701169337375487,0.8452830188679246,0.8560688641751467
DT-FedDQL,0.060781476121562955,0.09701169337375487,0.09701169337375487,0.8421052631578947,0.8553559385503027
DT-FedDQL,0.06222865412445731,0.09701169337375487,0.09701169337375487,0.8389513108614233,0.8507049034972097
DT-FedDQL,0.06222865412445731,0.097444781290602,0.097444781290602,0.8395522388059702,0.845
DT-FedDQL,0.06367583212735166,0.097444781290602,0.097444781290602,0.8364312267657993,0.845
DT-FedDQL,0.06512301013024602,0.097444781290602,0.097444781290602,0.8333333333333334,0.845
DT-FedDQL,0.06512301013024602,0.0978778692074491,0.0978778692074491,0.8339483394833949,0.845
DT-FedDQL,0.06512301013024602,0.09831095712429623,0.09831095712429623,0.8345588235294118,0.845
DT-FedDQL,0.06512301013024602,0.09874404504114336,0.09874404504114336,0.8351648351648352,0.845
DT-FedDQL,0.06512301013024602,0.09917713295799047,0.09917713295799047,0.8357664233576643,0.845
DT-FedDQL,0.06512301013024602,0.09961022087483759,0.09961022087483759,0.8363636363636363,0.845
DT-FedDQL,0.06512301013024602,0.10004330879168472,0.10004330879168472,0.8369565217391305,0.845
DT-FedDQL,0.06657018813314038,0.10004330879168472,0.10004330879168472,0.8339350180505415,0.845
DT-FedDQL,0.06801736613603473,0.10004330879168472,0.10004330879168472,0.8309352517985612,0.845
